movieTitle,movieQualityProfileId
Eternal Sunshine of the Spotless Mind (2004),1080p
Event Horizon (1997),1080p
Eyes Without a Face (1960),1080p
Face/Off (1997),1080p
Fahrenheit 9/11 (2004),1080p
Fanny and Alexander (1982),1080p
Fantasia (1940),1080p
Fantasia 2000 (2000),1080p
Fantastic Mr. Fox (2009),1080p
Fatal Attraction (1987),1080p
Ferris Bueller's Day Off (1986),1080p
Field of Dreams (1989),1080p
Fight Club (1999),1080p
Final Fantasy: The Spirits Within (2001),1080p
Finding Nemo (2003),1080p
Five Easy Pieces (1970),1080p
Flubber (1997),1080p
For Your Consideration (2006),1080p
For a Few Dollars More (1965),1080p
Forrest Gump (1994),1080p
Four Christmases (2008),1080p
Fracture (2007),1080p
Frankenstein (1931),1080p
Frantic (1988),1080p
Friday Night Lights (2004),1080p
Frosty the Snowman (1969),1080p
Full Metal Jacket (1987),1080p
G.I. Joe: The Rise of Cobra (2009),1080p
Gandhi (1982),1080p
Gangs of New York (2002),1080p
Garfield (2004),1080p
Gattaca (1997),1080p
Gettysburg (1993),1080p
Ghandi (1982),1080p
Ghostbusters (1984),1080p
Gladiator (2000),1080p
Glory (1989),1080p
Glory Road (2006),1080p
Gone with the Wind (1939),1080p
Good Will Hunting (1997),1080p
Goodfellas (1990),1080p
Grave of the Fireflies (1988),1080p
Gremlins (1984),1080p
Grey Gardens (1975),1080p
Grindhouse (2007),1080p
Grizzly Man (2005),1080p
Groundhog Day (1993),1080p
Grumpy Old Men (1993),1080p
Halloween (1978),1080p
Hannah and Her Sisters (1986),1080p
Happy Gilmore (1996),1080p
Hard Boiled (1992),1080p
"Harlan County, USA (1976)",1080p
Harry Potter and the Chamber of Secrets (2002),1080p
Harry Potter and the Goblet of Fire (2005),1080p
Harry Potter and the Half-Blood Prince (2009),1080p
Harry Potter and the Order of Phoenix (2007),1080p
Harry Potter and the Philosopher's Stone (2001),1080p
Harry Potter and the Prisoner of Azkaban (2004),1080p
Heat (1995),1080p
Heaven's Gate (1980),1080p
Hellraiser (1987),1080p
Hercules (1997),1080p
Hidalgo (2004),1080p
High Noon (1952),1080p
High Plains Drifter (1973),1080p
Holiday Inn (1942),1080p
Home Alone (1990),1080p
Home for the Holidays (1995),1080p
Home on the Range (2004),1080p
"Honey, I Shrunk the Kids (1989)",1080p
Hook (1991),1080p
Hoop Dreams (1994),1080p
Hotel Rwanda (2004),1080p
House of Sand and Fog (2003),1080p
House on Haunted Hill (1959),1080p
How the Grinch Stole Christmas (1966),1080p
Howl's Moving Castle (2004),1080p
"I, Robot (2004)",1080p
Ice Age: The Meltdown (2006),1080p
In the Line of Fire (1993),1080p
In the Mood for Love (2000),1080p
Independence Day (1996),1080p
Indiana Jones and the Last Crusade (1989),1080p
Indiana Jones and the Raiders of the Lost Ark (1981),1080p
Insomnia (2002),1080p
Into the Wild (2007),1080p
Invasion of the Body Snatchers (1956),1080p
Invictus (2009),1080p
Iron Man (2008),1080p
It's a Wonderful Life (1946),1080p
It’s a Wonderful Life (1946),1080p
JFK (1991),1080p
Jaws (1975),1080p
Jeremiah Johnson (1972),1080p
Jingle All the Way (1996),1080p
Joyeux Noel (2005),1080p
Jules and Jim (1962),1080p
Jumanji (1995),1080p
Jurassic Park (1993),1080p
Just Friends (2005),1080p
Kelly's Heroes (1970),1080p
Kill Bill: Vol. 1 (2003),1080p
King Kong (1933),1080p
Kingpin (1996),1080p
L.A. Confidential (1997),1080p
La Strada (1954),1080p
Labyrinth (1986),1080p
Lady and the Tramp (1955),1080p
Last Holiday (2006),1080p
Lawrence of Arabia (1962),1080p
Let the Right One In (2008),1080p
Lethal Weapon (1987),1080p
Letters from Iwo Jima (2006),1080p
Lilo & Stitch (2002),1080p
Little Big Man (1970),1080p
Little Children (2006),1080p
Little Giants (1994),1080p
Love Actually (2003),1080p
Madagascar (2005),1080p
Major League (1989),1080p
Malcolm X (1992),1080p
Man on Wire (2008),1080p
Manhattan (1979),1080p
March of the Penguins (2005),1080p
Marie Antoinette (2006),1080p
Mary Poppins (1964),1080p
Mary and Max (2009),1080p
Matilda (1996),1080p
Mean Girls (2004),1080p
Mean Streets (1973),1080p
Meet Me in St. Louis (1944),1080p
Meet the Robinsons (2007),1080p
Memento (2000),1080p
Memphis Belle (1990),1080p
Men in Black (1997),1080p
Midway (1976),1080p
Miller's Crossing (1990),1080p
Million Dollar Baby (2004),1080p
Mind Game (2004),1080p
Minority Report (2002),1080p
Miracle (2004),1080p
Miracle on 34th Street (1947),1080p
"Monsters, Inc. (2001)",1080p
Monty Python and the Holy Grail (1975),1080p
Moon (2009),1080p
Moulin Rouge! (2001),1080p
Mrs. Doubtfire (1993),1080p
Mulan (1998),1080p
Mulholland Drive (2001),1080p
Munich (2005),1080p
Murder on the Orient Express (1974),1080p
My Darling Clementine (1946),1080p
My Girl (1991),1080p
My Left Foot (1989),1080p
My Neighbor Totoro (1988),1080p
Mystic River (2003),1080p
Nanny McPhee (2005),1080p
Nanook of the North (1922),1080p
National Lampoon's Vacation (1983),1080p
National Lampoon’s Christmas Vacation (1989),1080p
National Treasure (2004),1080p
Nevada Smith (1966),1080p
Night of the Living Dead (1968),1080p
No Country for Old Men (2007),1080p
Nobody's Fool (1994),1080p
North by Northwest (1959),1080p
Nosferatu (1922),1080p
Notting Hill (1999),1080p
Oldboy (2003),1080p
Oliver & Company (1988),1080p
On the Waterfront (1954),1080p
Once Upon a Time in the West (1968),1080p
One Flew Over the Cuckoo's Nest (1975),1080p
Open Range (2003),1080p
Ordinary People (1980),1080p
Out of Africa (1985),1080p
Outlander (2008),1080p
Pale Rider (1985),1080p
Pan's Labyrinth (2006),1080p
Paprika (2006),1080p
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1080p
Paris Is Burning (1990),1080p
"Paris, Texas (1984)",1080p
Patton (1970),1080p
Pearl Harbor (2001),1080p
Peeping Tom (1960),1080p
Perfect Blue (1997),1080p
Persepolis (2007),1080p
Persona (1966),1080p
Peter Pan (1953),1080p
Phone Booth (2002),1080p
Pieces of April (2003),1080p
Pinocchio (1940),1080p
Pirates of the Caribbean: The Curse of the Black Pearl (2003),1080p
"Planes, Trains and Automobiles (1987)",1080p
Planet of the Apes (1968),1080p
Platoon (1986),1080p
Pocahontas (1995),1080p
Point Break (1991),1080p
Possession (1981),1080p
Predator (1987),1080p
Predator 2 (1990),1080p
Pride and Prejudice (2005),1080p
Primal Fear (1996),1080p
